id,category,brand,price,image,description,name,isDeleted
86,Cycling,Raptor Elite,79.99,86_generated_image.png,"Stay safe and stylish on your cycling adventures with the Raptor Elite ProVent bike helmet. This sleek helmet features a matte black finish with striking red accents. The ProVent technology ensures optimal airflow, keeping you cool and comfortable. With its adjustable fit system and removable visor, this helmet is perfect for both casual and professional riders.",ProVent Bike Helmet,false
87,Trekking,XE,229,87_generated_image.png,"Embark on your next camping expedition with the XE Nomad 2-person tent. Designed for rugged outdoor conditions, this tent features a durable waterproof fabric in earthy tones. The spacious interior and easy-to-use setup make it ideal for comfortable camping. With its innovative ventilation system, you'll stay cool and dry throughout the night.",Nomad 2-Person Tent,false
88,Bags,Green Equipment,129,88_generated_image.png,"The AlpinePack backpack by Green Equipment is your ultimate companion for outdoor adventures. This versatile and durable backpack features a sleek navy design with reinforced straps. With a capacity of 45 liters, multiple compartments, and a hydration pack sleeve, it offers ample storage and organization. The ergonomic back panel ensures maximum comfort, even on the most challenging treks.",Alpine AlpinePack Backpack,false
89,Jackets,Legend,239.99,89_generated_image.png,"Defy the coldest temperatures with the Legend Summit Pro down jacket. This high-performance jacket is filled with premium down insulation for exceptional warmth. The sleek design in deep navy blue is complemented by contrasting silver zippers and emblems. Equipped with weather-resistant fabric and a removable hood, this jacket is your ultimate companion for extreme winter adventures.",Summit Pro Down Jacket,false
90,Navigation,B&R,199,90_generated_image.png,"Navigate the trails like a pro with the B&R TrailTracker GPS watch. This rugged and reliable watch features a built-in GPS that tracks your location, speed, and distance accurately. The sleek camo design with a vivid orange strap adds a sporty touch. With its long battery life and water-resistant construction, you can trust this watch to guide you through any outdoor expedition.",TrailTracker GPS Watch,false
91,Footwear,WildRunner,89.99,91_generated_image.png,"Conquer any terrain in the Trailblazer Trail Running Shoes by WildRunner. These lightweight shoes come in vibrant blue and feature a rugged outsole for excellent traction, a breathable mesh upper for maximum comfort, and quick-drying materials to keep you dry on your adventures.",Trailblazer Trail Running Shoes,false
92,Ski/boarding,WhiteSpace,449.99,92_generated_image.png,"Shred the slopes with the Shaun White Powder Groomer. This powerful board features a sleek design in black and icy white, with a Dura-LT carbon fiberglass core, tapered shape, directional camber, and a precision base that allows for smooth rides and easy turns. Strap on and carve your way to glory.",Shaun White Powder Groomer,false
93,Climbing,Raptor Elite,109.99,93_generated_image.png,"Conquer the highest peaks with the Raptor Elite Summit Climbing Harness. This durable and lightweight harness, available in bold red, provides maximum comfort and safety while scaling tricky routes. Its adjustable waistband and leg loops ensure a snug fit, while the gear loops provide easy access to your equipment.",Summit Climbing Harness,false
94,Bags,Gravitator,79.99,94_generated_image.png,"Embark on unforgettable hikes with the Gravitator Gravity Hiking Backpack. Available in tiger stripes, this backpack offers a spacious main compartment, multiple pockets, and a hydration system compatible design. The lightweight and durable construction ensures maximum comfort on the trails.",Gravity Hiking Backpack,false
95,Cycling,AirStrider,129.99,95_generated_image.png,"Stay safe and stylish on your cycling adventures with the AirStrider AeroLite Cycling Helmet. This helmet, in a glossy grey, features a lightweight design, adjustable straps, and excellent ventilation to keep you cool. The aerodynamic shape reduces air resistance, enabling you to pick up speed with confidence.",AeroLite Cycling Helmet,false
96,Trekking,B&R,279.99,96_generated_image.png,"Experience the great outdoors with the B&R Explorer Camping Tent. This spacious tent, available in forest green, comfortably fits up to six people with a separate sleeping area and a generous living space. Its sturdy construction and weather-resistant materials ensure durability and protection from the elements.",Explorer Camping Tent,false
97,Bags,Quester,49.99,97_generated_image.png,"Keep your essentials dry and secure with the Quester Gravity Waterproof Dry Bag. This versatile bag, in vibrant orange, features a roll-top closure system, adjustable shoulder straps, and durable PVC-coated fabric to withstand water, sand, and dirt. Ideal for adventures on land or water.",Gravity Waterproof Dry Bag,false
98,Jackets,Legend,179.99,98_generated_image.png,"Gear up for any adventure with the Legend Element Outdoor Jacket. Available in charcoal gray, this jacket offers ultimate protection with its waterproof and windproof shell. The breathable fabric and adjustable cuffs ensure comfort, allowing you to explore in any weather condition.",Element Outdoor Jacket,false
99,Navigation,Solstix,199.99,99_generated_image.png,"Take navigation to the next level with the Solstix Adventurer GPS Watch. This sleek and durable watch, in midnight blue, features a built-in GPS, altimeter, and compass, allowing you to track your routes and monitor your progress. With multiple sport modes, it's the ideal companion for outdoor enthusiasts.",Adventurer GPS Watch,false
100,Trekking,Green Equipment,79.99,100_generated_image.png,"Tackle challenging trails with the Green Equipment EcoLite Trekking Poles. These lightweight poles, in vibrant green, feature adjustable height, shock-absorbing capabilities, and ergonomic cork handles for a comfortable grip. Whether ascending or descending, these poles provide stability and support.",EcoLite Trekking Poles,false
101,Footwear,Raptor Elite,135.99,101_generated_image.png,"The Trek Xtreme hiking shoes by Raptor Elite are built to endure any trail. With their durable leather upper and rugged rubber sole, they offer excellent traction and protection. These shoes come in a timeless brown color that adds a touch of style to your outdoor adventures.",Trek Xtreme Hiking Shoes,false
